Kingdom,Phylum,Class,Order,Family,Genus,V2S1,V1S5,V2S2,V2S3,V2S5,V2S4,V2S6,V2S7,V1S2,V1S1,V1S3,V1S4,V2S9,V2S8,V2S10,V2S11,V3S4,V3S1,V3S3,V3S2,V3S8,V3S5,V3S7,V3S6,V3S11,V3S12,V3S13,V3S14,V3S15,V3S10,V3S9
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,unclassified,unclassified,16423,24034,13561,7675,5072,8513,1681,8460,3097,7822,7373,11395,39201,18053,31526,45687,15519,12178,8821,14164,13410,17237,14180,17693,41616,15250,13304,7369,3052,17049,19554
Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,26406,21836,32021,12547,17033,7141,9182,19495,5242,3819,6277,7441,6572,3340,14650,19499,33483,7637,2365,11231,23649,9444,15115,22619,16034,1490,403,218,1351,9980,21152
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,unclassified,8169,13392,13219,2306,12424,4594,8839,6304,4740,3017,10399,16118,2121,1535,4299,5579,5961,3362,1138,1276,13162,6675,5616,5036,20600,3218,766,585,3562,18281,23557
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Cytophagaceae,unclassified,8770,8606,17086,3725,7028,2833,2888,5670,1420,2956,4022,7377,2536,2145,10717,5166,5110,8584,1918,6399,7144,15421,9363,11266,12228,244,1288,963,3454,5700,4299
Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified,4523,3482,1285,2615,820,875,373,673,1279,1950,712,4054,24898,15125,14767,18838,6280,5559,2743,5592,2732,5998,1455,6893,9902,12084,10332,3898,698,3054,1833
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Sediminibacterium,5670,8921,3528,2605,414,988,1460,1820,1575,1496,974,3236,6330,3780,13104,9723,3207,5871,3195,3130,3106,6070,5724,7156,14095,1587,4334,2907,943,4388,3074
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,3049,3152,3022,1193,1255,1168,377,851,1098,1866,1320,1631,7698,3402,6446,13336,4251,2400,1472,1999,5338,4722,3279,3509,10160,1883,4283,2023,477,2554,3086
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,unclassified,unclassified,1545,5670,1824,1652,1532,1351,546,2857,901,1791,2177,3891,2372,1746,6003,3927,2613,3579,1728,2692,4670,6444,5039,6606,9154,2321,588,533,876,3137,7425
Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified,2094,1887,193,603,516,521,200,387,331,1180,1006,1316,9455,3207,4476,15998,3174,5888,2365,2111,1960,1548,2134,1354,3529,2637,1742,796,1070,1564,3084
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,unclassified,4159,3616,4891,1602,2739,3147,704,714,490,1484,4163,6924,399,1601,1876,2249,1423,2256,73,202,2441,1310,1837,1169,9355,286,131,139,596,6986,6783
