Accession Number	Spp	Number of Proteins in Genome	Number of Hits to Genome	Percent Proteins Hit
Number of genomes in database: 5870
NC_011165	Pseudomonas phage LBL3	88	125	96.59
NC_019503	Escherichia phage ime09	268	38	2.99
NC_024625	Peridroma alphabaculovirus	139	36	3.60
NC_002321	Staphylococcus phage PVL	62	9	3.23
NC_022987	Xylella phage Prado	52	6	5.77
NC_023737	Mycobacterium phage Pleione	238	59	2.94
NC_021534	Vibrio phage pYD38-A	77	41	11.69
NC_002484	Pseudomonas phage D3	99	98	20.20
NC_024381	Pseudomonas phage vB_PaeS_SCH_Ab26	52	17	11.54
NC_023736	Ralstonia phage RSB2	52	12	7.69
NC_019769	Enterobacteria phage HK542	57	53	21.05
NC_005839	Agrotis segetum granulovirus	132	7	2.27
NC_021340	Halovirus HHTV-2	88	4	2.27
NC_011142	Iodobacteriophage phiPLPE	84	13	7.14
NC_019708	Enterobacteria phage mEp235	61	84	24.59
NC_025375	Stygiolobus rod-shaped virus	37	9	2.70
NC_021305	Mycobacterium phage Murphy	146	70	3.42
NC_006936	Lactobacillus virus phiJL1	46	2	4.35
NC_025420	Lactobacillus phage Ld17	50	7	8.00
NC_001501	Moloney murine leukemia virus	3	1	33.33
NC_011287	Mycobacterium phage Pacc40	101	12	1.98
NC_024906	Rose leaf rosette-associated virus	13	23	7.69
NC_000898	Human betaherpesvirus 6B	104	2	0.96
NC_024790	Escherichia phage vB_EcoP_PhAPEC7	83	3	3.61
NC_001664	Human betaherpesvirus 6A	88	1	1.14
NC_011222	Bacteroides phage B40-8	46	34	6.52
NC_003315	Haemophilus phage HP2	37	11	18.92
NC_023601	Pseudomonas phage phiPsa374	173	56	4.05
NC_003102	Spodoptera litura nucleopolyhedrovirus	141	25	2.13
NC_012663	Lactococcus phage P087	88	38	1.14
NC_007145	Burkholderia virus phi52237	47	37	44.68
NC_021323	Staphylococcus phage StauST398-2	62	11	6.45
NC_009018	Streptococcus phage phi3396	64	5	1.56
NC_009552	Geobacillus virus E2	71	79	9.86
